ID,Domain Name,LLM Model,Prompt ID,LLM_Status,LLM API Time S,Input Tokens Consumed,Output Tokens Generated,Path to Raw LLM Response,Passed Stage V1,Path to Extracted PDDL,Passed VAL Syntactic Check (V2),VAL_error_string,Passed V3,Passed V4,Validation Status,Timestamp
11,barman,gpt-5.4-2026-03-05,1,Passed,14.615,1650,1489,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\barman\barman_gpt-5.4_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\barman\barman_gpt-5.4_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:01:07.762454Z
12,barman,claude-opus-4-6,1,Passed,18.315,2042,1865,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\barman\barman_claude-opus-4.6_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\barman\barman_claude-opus-4.6_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:01:08.971670Z
13,snake,deepseek-reasoner,1,Passed,37.848,843,2955,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\snake\snake_deepseek-r1_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\snake\snake_deepseek-r1_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:01:12.765822Z
14,snake,gemini-3.1-pro-preview-customtools,1,Passed,44.214,868,741,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\snake\snake_gemini-3.1-pro_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\snake\snake_gemini-3.1-pro_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:01:21.577238Z
15,ricochet-robots,deepseek-reasoner,1,Passed,19.927,948,1550,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\ricochet-robots\ricochet-robots_deepseek-r1_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\ricochet-robots\ricochet-robots_deepseek-r1_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:01:32.970467Z
16,ricochet-robots,gemini-3.1-pro-preview-customtools,1,Passed,35.048,1010,570,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\ricochet-robots\ricochet-robots_gemini-3.1-pro_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\ricochet-robots\ricochet-robots_gemini-3.1-pro_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:01:56.766364Z
17,depots,deepseek-reasoner,1,Passed,36.384,667,2920,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\depots\depots_deepseek-r1_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\depots\depots_deepseek-r1_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:02:09.639371Z
18,depots,gemini-3.1-pro-preview-customtools,1,Passed,34.348,685,551,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\depots\depots_gemini-3.1-pro_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\depots\depots_gemini-3.1-pro_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:02:31.249971Z
19,barman,deepseek-reasoner,1,Passed,31.176,1712,2424,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\barman\barman_deepseek-r1_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\barman\barman_deepseek-r1_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:02:41.094803Z
20,barman,gemini-3.1-pro-preview-customtools,1,Passed,51.678,1885,1652,D:\Daniel\GUC\Bachelor Abroad Documents\The most Important Documents (Organized)\Thesis\Code Implementation\checkpoint between stages 0 & 1\ArchAware-PDDL-Configurator\results\general_prompt\LLM Results\barman\barman_gemini-3.1-pro_General.txt,True,C:\Users\danie\My Drive\ArchAware-PDDL-Configurator\results\general_prompt\Extracted PDDL\barman\barman_gemini-3.1-pro_General.pddl,True,N/A,True,True,VALID,2026-04-30T09:03:23.084653Z
