Starting Stage 2 Arch-Aware Execution Pipeline...
[gpt-5.4 | visitall | lama] Instantiating provider...
[claude-opus-4.6 | ricochet-robots | decstar] Instantiating provider...
[claude-opus-4.6 | ricochet-robots | decstar] Provider instantiated. Starting generation...
[gpt-5.4 | ricochet-robots | madagascar] Instantiating provider...
[gpt-5.4 | ricochet-robots | madagascar] Provider instantiated. Starting generation...
[claude-opus-4.6 | ricochet-robots | bfws] Instantiating provider...
[claude-opus-4.6 | ricochet-robots | bfws] Provider instantiated. Starting generation...
[gemini-3.1-pro | snake | lama] Instantiating provider...
[gemini-3.1-pro | snake | lama] Provider instantiated. Starting generation...
[gpt-5.4 | depots | lama] Instantiating provider...
[gpt-5.4 | depots | lama] Provider instantiated. Starting generation...
[deepseek-r1 | snake | lama] Instantiating provider...
[deepseek-r1 | snake | lama] Provider instantiated. Starting generation...
[claude-opus-4.6 | ricochet-robots | madagascar] Instantiating provider...
[claude-opus-4.6 | ricochet-robots | madagascar] Provider instantiated. Starting generation...
[gpt-5.4 | depots | decstar] Instantiating provider...
[gpt-5.4 | depots | decstar] Provider instantiated. Starting generation...
[claude-opus-4.6 | depots | lama] Instantiating provider...
[claude-opus-4.6 | depots | lama] Provider instantiated. Starting generation...
[gpt-5.4 | depots | bfws] Instantiating provider...
[gpt-5.4 | depots | bfws] Provider instantiated. Starting generation...
[claude-opus-4.6 | depots | decstar] Instantiating provider...
[claude-opus-4.6 | depots | decstar] Provider instantiated. Starting generation...
[gpt-5.4 | depots | madagascar] Instantiating provider...
[gpt-5.4 | depots | madagascar] Provider instantiated. Starting generation...
[claude-opus-4.6 | depots | bfws] Instantiating provider...
[claude-opus-4.6 | depots | bfws] Provider instantiated. Starting generation...
[gemini-3.1-pro | snake | decstar] Instantiating provider...
[gemini-3.1-pro | snake | decstar] Provider instantiated. Starting generation...
[gpt-5.4 | barman | lama] Instantiating provider...
[gpt-5.4 | barman | lama] Provider instantiated. Starting generation...
[claude-opus-4.6 | depots | madagascar] Instantiating provider...
[claude-opus-4.6 | depots | madagascar] Provider instantiated. Starting generation...
[claude-opus-4.6 | barman | lama] Instantiating provider...
[claude-opus-4.6 | barman | lama] Provider instantiated. Starting generation...
[gpt-5.4 | barman | decstar] Instantiating provider...
[gpt-5.4 | barman | decstar] Provider instantiated. Starting generation...
[gemini-3.1-pro | snake | bfws] Instantiating provider...
[gemini-3.1-pro | snake | bfws] Provider instantiated. Starting generation...
[claude-opus-4.6 | barman | decstar] Instantiating provider...
[claude-opus-4.6 | barman | decstar] Provider instantiated. Starting generation...
[gpt-5.4 | barman | bfws] Instantiating provider...
[gpt-5.4 | barman | bfws] Provider instantiated. Starting generation...
[gpt-5.4 | barman | madagascar] Instantiating provider...
[gpt-5.4 | barman | madagascar] Provider instantiated. Starting generation...
[claude-opus-4.6 | barman | bfws] Instantiating provider...
[claude-opus-4.6 | barman | bfws] Provider instantiated. Starting generation...
[gemini-3.1-pro | snake | madagascar] Instantiating provider...
[gemini-3.1-pro | snake | madagascar] Provider instantiated. Starting generation...
[claude-opus-4.6 | barman | madagascar] Instantiating provider...
[claude-opus-4.6 | barman | madagascar] Provider instantiated. Starting generation...
[deepseek-r1 | snake | decstar] Instantiating provider...
[deepseek-r1 | snake | decstar] Provider instantiated. Starting generation...
[gemini-3.1-pro | ricochet-robots | lama] Instantiating provider...
[gemini-3.1-pro | ricochet-robots | lama] Provider instantiated. Starting generation...
[gemini-3.1-pro | ricochet-robots | decstar] Instantiating provider...
[gemini-3.1-pro | ricochet-robots | decstar] Provider instantiated. Starting generation...
[deepseek-r1 | snake | bfws] Instantiating provider...
[deepseek-r1 | snake | bfws] Provider instantiated. Starting generation...
[gemini-3.1-pro | ricochet-robots | bfws] Instantiating provider...
[gemini-3.1-pro | ricochet-robots | bfws] Provider instantiated. Starting generation...
[gemini-3.1-pro | ricochet-robots | madagascar] Instantiating provider...
[gemini-3.1-pro | ricochet-robots | madagascar] Provider instantiated. Starting generation...
[deepseek-r1 | snake | madagascar] Instantiating provider...
[deepseek-r1 | snake | madagascar] Provider instantiated. Starting generation...
[gemini-3.1-pro | depots | lama] Instantiating provider...
[gemini-3.1-pro | depots | lama] Provider instantiated. Starting generation...
[gemini-3.1-pro | depots | decstar] Instantiating provider...
[gemini-3.1-pro | depots | decstar] Provider instantiated. Starting generation...
[deepseek-r1 | ricochet-robots | lama] Instantiating provider...
[deepseek-r1 | ricochet-robots | lama] Provider instantiated. Starting generation...
[gemini-3.1-pro | depots | bfws] Instantiating provider...
[gemini-3.1-pro | depots | bfws] Provider instantiated. Starting generation...
[deepseek-r1 | ricochet-robots | decstar] Instantiating provider...
[deepseek-r1 | ricochet-robots | decstar] Provider instantiated. Starting generation...
[gemini-3.1-pro | depots | madagascar] Instantiating provider...
[gemini-3.1-pro | depots | madagascar] Provider instantiated. Starting generation...
[gemini-3.1-pro | barman | lama] Instantiating provider...
[gemini-3.1-pro | barman | lama] Provider instantiated. Starting generation...
[deepseek-r1 | ricochet-robots | bfws] Instantiating provider...
[deepseek-r1 | ricochet-robots | bfws] Provider instantiated. Starting generation...
[gemini-3.1-pro | barman | decstar] Instantiating provider...
[gemini-3.1-pro | barman | decstar] Provider instantiated. Starting generation...
[deepseek-r1 | ricochet-robots | madagascar] Instantiating provider...
[deepseek-r1 | ricochet-robots | madagascar] Provider instantiated. Starting generation...
[gemini-3.1-pro | barman | bfws] Instantiating provider...
[gemini-3.1-pro | barman | bfws] Provider instantiated. Starting generation...
[deepseek-r1 | depots | lama] Instantiating provider...
[deepseek-r1 | depots | lama] Provider instantiated. Starting generation...
[gemini-3.1-pro | barman | madagascar] Instantiating provider...
[gemini-3.1-pro | barman | madagascar] Provider instantiated. Starting generation...
[deepseek-r1 | depots | decstar] Instantiating provider...
[deepseek-r1 | depots | decstar] Provider instantiated. Starting generation...
[deepseek-r1 | depots | bfws] Instantiating provider...
[deepseek-r1 | depots | bfws] Provider instantiated. Starting generation...
[deepseek-r1 | depots | madagascar] Instantiating provider...
[deepseek-r1 | depots | madagascar] Provider instantiated. Starting generation...
[deepseek-r1 | barman | lama] Instantiating provider...
[deepseek-r1 | barman | lama] Provider instantiated. Starting generation...
[deepseek-r1 | barman | decstar] Instantiating provider...
[deepseek-r1 | barman | decstar] Provider instantiated. Starting generation...
[deepseek-r1 | barman | bfws] Instantiating provider...
[deepseek-r1 | barman | bfws] Provider instantiated. Starting generation...
[deepseek-r1 | barman | madagascar] Instantiating provider...
[deepseek-r1 | barman | madagascar] Provider instantiated. Starting generation...
Pipeline finished. Reason: CLEAN_EXIT. See logs/stage2/LLM_run/run_summaries/ for details.
